Region,County,First Dose,Series Complete,Report as of
New York City,Kings,2126575,1914287,03/18/2023
North Country,Jefferson,76589,64321,03/18/2023
Mohawk Valley,Herkimer,37332,34988,03/18/2023
North Country,Hamilton,3569,3305,03/18/2023
Capital Region,Greene,32704,29744,03/18/2023
Finger Lakes,Genesee,38182,36039,03/18/2023
Mohawk Valley,Fulton,30513,28743,03/18/2023
North Country,Franklin,31530,29466,03/18/2023
North Country,Essex,28102,26213,03/18/2023
Western New York,Erie,724427,672322,03/18/2023
Mid-Hudson,Dutchess,234576,211025,03/18/2023
Southern Tier,Delaware,26896,24898,03/18/2023
Central New York,Cortland,30133,28432,03/18/2023
Capital Region,Columbia,46525,42393,03/18/2023
North Country,Clinton,60148,56299,03/18/2023
Southern Tier,Chenango,31637,29771,03/18/2023
Southern Tier,Chemung,50026,46922,03/18/2023
Western New York,Chautauqua,82786,76217,03/18/2023
Central New York,Cayuga,50332,47036,03/18/2023
Western New York,Cattaraugus,44461,41214,03/18/2023
Southern Tier,Broome,136916,127461,03/18/2023
New York City,Bronx,1238937,1099506,03/18/2023
Western New York,Allegany,23827,22219,03/18/2023
Capital Region,Albany,257406,234223,03/18/2023
Western New York,Allegany,23827,22219,03/17/2023
Finger Lakes,Yates,14852,13865,03/17/2023
Finger Lakes,Wyoming,23575,22298,03/17/2023
Mid-Hudson,Westchester,895526,804400,03/17/2023
Finger Lakes,Wayne,66247,62395,03/17/2023
Capital Region,Washington,42217,40100,03/17/2023
Capital Region,Warren,52756,49710,03/17/2023
Mid-Hudson,Ulster,149731,136936,03/17/2023
Southern Tier,Tompkins,90461,82169,03/17/2023
Southern Tier,Tioga,25890,24500,03/17/2023
Mid-Hudson,Sullivan,51786,46815,03/17/2023
Long Island,Suffolk,1253078,1137321,03/17/2023
Southern Tier,Steuben,56653,53211,03/17/2023
North Country,St. Lawrence,75289,69895,03/17/2023
Finger Lakes,Seneca,19831,18565,03/17/2023
Southern Tier,Schuyler,11387,10544,03/17/2023
Mohawk Valley,Schoharie,19612,18550,03/17/2023
Capital Region,Schenectady,137808,127269,03/17/2023
Capital Region,Saratoga,190685,177820,03/17/2023
Mid-Hudson,Rockland,235790,211620,03/17/2023
